,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
357,jalingo,8.88,11.37,296.38,88,88,1.7,NG,1595727708
358,nizhnyaya tavda,57.67,66.17,286.34,68,3,2.14,RU,1595727709
359,goryachiy klyuch,44.63,39.13,296.48,56,20,3,RU,1595727710
360,tomatlan,19.93,-105.25,298.35,91,100,1.47,MX,1595727713
361,baft,29.23,56.61,295.39,33,0,2.61,IR,1595727714
362,teahupoo,-17.83,-149.27,301.15,61,20,2.6,PF,1595727715
363,dabakala,8.37,-4.43,294.55,96,92,2.27,CI,1595727716
364,sao joao da barra,-21.64,-41.05,294.95,88,0,5.4,BR,1595727718
365,liuhe,42.24,125.72,300.71,62,26,1.79,CN,1595727720
366,novobirilyussy,56.95,90.67,287.67,94,93,2.34,RU,1595727721
367,rock hill,34.92,-81.03,297.59,83,20,2.1,US,1595727722
368,cherskiy,68.75,161.3,303.3,25,0,6.04,RU,1595727723
369,tiarei,-17.53,-149.33,301.15,61,20,2.6,PF,1595727724
370,lugovoy,42.95,72.76,299.38,24,1,1.05,KZ,1595727726
371,luwuk,-0.95,122.79,296.75,84,100,3.53,ID,1595727728
372,moville,42.49,-96.07,304.15,62,1,7.2,US,1595727729
373,kozhevnikovo,56.26,83.97,288.71,88,100,2.27,RU,1595727730
374,sar-e pul,35.83,66.17,295.0,34,0,0.81,AF,1595727731
375,duvan,55.7,57.9,286.77,94,100,2.75,RU,1595727733
376,port blair,11.67,92.75,300.15,88,40,0.5,IN,1595727735
377,hanzhong,33.07,107.03,298.02,71,1,0.76,CN,1595727736
378,okha,53.57,142.95,288.14,67,0,5.76,RU,1595727737
379,chapais,49.78,-74.85,291.15,93,90,1,CA,1595727738
380,ixtapa,20.7,-105.2,302.59,79,90,3.6,MX,1595727739
381,alta floresta,-9.88,-56.09,296.04,53,1,1.53,BR,1595727741
382,gornopravdinsk,60.05,69.9,287.89,69,75,1.69,RU,1595727742
383,kabinda,-6.13,24.48,291.33,41,54,1.85,CD,1595727743
384,yulara,-25.24,130.99,287.15,54,0,4.1,AU,1595727745
385,olafsvik,64.89,-23.71,281.87,76,97,13.18,IS,1595727747
386,padang,-0.95,100.35,301.04,70,79,1.08,ID,1595727750
